facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,hospital_type,parent_entity
sns_urgency:1,hospital_emergency_official,Urgência do Hospital de Braga,41.562328338623,-8.399443,Sete Fontes - São Victor,Braga,4710-243,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Hospital de Braga, E.P.E."
sns_urgency:2,hospital_emergency_official,Urgência do Hospital São João de Deus - Vila Nova de Famalicão,41.4123,-8.52095,Rua de Cupertino de Miranda,Vila Nova de Famalicão,4764-958,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar do Médio Ave, E.P.E."
sns_urgency:3,hospital_emergency_official,Urgência da Unidade Hospitalar de Bragança,41.802452,-6.768198,Av. Abade Baçal,Bragança,5301-852,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E."
sns_urgency:4,hospital_emergency_official,Urgência do Hospital São João - Porto,41.1833,-8.60193,Alameda Professor Hernâni Monteiro,Porto,4200-319,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar Universitário de São João, E.P.E."
sns_urgency:5,hospital_emergency_official,Urgência da Unidade Hospitalar de Chaves,41.743265,-7.476717,Av. Dr. Francisco Sá Carneiro,Chaves,5400-279,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E."
sns_urgency:6,hospital_emergency_official,Urgência do Hospital Amato Lusitano - Castelo Branco,39.822737,-7.499876,Av. Pedro Álvares Cabral,Castelo Branco,6000-084,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital Amato Lusitano - ULS de Castelo Branco, E.P.E."
sns_urgency:7,hospital_emergency_official,Urgência do Hospital Garcia de Orta,38.67381,-9.17597,"Av. Torrado da Silva, Pragal",Almada,2805-267,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Hospital Garcia de Orta, E.P.E."
sns_urgency:8,hospital_emergency_official,SUB Mogadouro,41.342963418,-6.7120221701,IC 19 - Venteira,Amadora,2720-276,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital Prof. Doutor Fernando Fonseca, E.P.E."
sns_urgency:9,hospital_emergency_official,Urgência do Hospital Nossa Senhora do Rosário - Barreiro,38.6527214050292,-9.05825614929199,Av. Brigadeiro Victor Novais Gonçalves,Alcabideche,2755-009,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,Hospital de Cascais Dr. José de Almeida
sns_urgency:10,hospital_emergency_official,SUB do Hospital de Santa Maria Maior,41.533438,-8.616604,"Campo da República, Apartado 181",Barcelos,4754-909,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospital de Santa Maria Maior, E.P.E."
sns_urgency:11,hospital_emergency_official,Urgência do Hospital de Santo Espírito da Ilha Terceira,38.6588,-27.2136,Av. D. Manuel I - Matriz,Ponta Delgada,9500-370,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Hospital do Divino Espírito Santo de Ponta Delgada, EPER"
sns_urgency:12,hospital_emergency_official,Urgência do Hospital Pedro Hispano,41.181859,-8.663374,Rua Dr. Eduardo Torres,Senhora da Hora,4464-513,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital Pedro Hispano - ULS Matosinhos, E.P.E."
sns_urgency:13,hospital_emergency_official,Urgência do Hospital Pediátrico de Coimbra,40.2212,-8.41741,Av. Afonso Romão,Coimbra,3000-602,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Centro Hospitalar e Universitário de Coimbra, E.P.E."
sns_urgency:14,hospital_emergency_official,Urgência do Hospital São Teotónio - Viseu,40.6509,-7.91039,Av. do Rei D. Duarte,Viseu,3504-509,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Centro Hospitalar Tondela-Viseu, E.P.E."
sns_urgency:15,hospital_emergency_official,SUB do Hospital São Pedro Gonçalves Telmo - Peniche,39.363727,-9.383074,Rua General Humberto Delgado,Peniche,2520-447,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar do Oeste, E.P.E."
sns_urgency:16,hospital_emergency_official,Urgência da Unidade Hospitalar de São Pedro - Vila Real,41.310331,-7.760103,"Av. da Noruega, Lordelo",Vila Real,5000-508,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E."
sns_urgency:17,hospital_emergency_official,Urgência do Hospital José Joaquim Fernandes - Beja,38.0146,-7.86863,Largo Senhor da Pobreza,Évora,7000-811,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Hospital Espírito Santo - Évora, E.P.E."
sns_urgency:18,hospital_emergency_official,Urgência da Maternidade Bissaya Barreto,40.2127,-8.41486,"Campo da República, Apartado 181",Barcelos,4754-909,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospital de Santa Maria Maior, E.P.E."
sns_urgency:19,hospital_emergency_official,SUB São Pedro do Sul,40.759719,-8.061475,Rua Mariana Martins - Apartado 242,Elvas,7350-954,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Hospitais da ULS do Norte Alentejano, E.P.E."
sns_urgency:20,hospital_emergency_official,Urgência do Hospital Padre Américo - Vale do Sousa,41.1971153671548,-8.30955614751694,"Av. do Hospital Padre Américo, 210, Guilhufe",Penafiel,4560-136,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar Tâmega e Sousa, E.P.E."
sns_urgency:21,hospital_emergency_official,Urgência da Unidade Hospitalar da Póvoa do Varzim,41.383183,-8.758784,Largo da Misericórdia,Póvoa de Varzim,4490-421,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E."
sns_urgency:22,hospital_emergency_official,Urgência dos Hospitais da Universidade de Coimbra,40.217426,-8.410075,Av. Bissaya Barreto - Praceta Prof. Mota Pinto,Coimbra,3000-075,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar e Universitário de Coimbra, E.P.E."
sns_urgency:23,hospital_emergency_official,Urgência do Hospital Distrital das Caldas da Rainha,39.4055519104004,-9.128473,Rua Diário de Notícias,Caldas da Rainha,2500-176,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar do Oeste, E.P.E."
sns_urgency:24,hospital_emergency_official,Urgência do Hospital Santo André - Leiria,39.7418,-8.79444,Rua das Olhalvas - Pousos,Leiria,2410-197,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar de Leiria, E.P.E."
sns_urgency:25,hospital_emergency_official,Urgência do Hospital São José - Lisboa,38.7169,-9.13654,Rua José António Serrano,Lisboa,1150-199,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar Universitário de Lisboa Central, E.P.E."
sns_urgency:26,hospital_emergency_official,Urgência do Hospital Prof. Doutor Fernando Fonseca - Amadora/Sintra,38.7354,-9.22709,IC 19 - Venteira,Amadora,2720-276,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital Prof. Doutor Fernando Fonseca, E.P.E."
sns_urgency:27,hospital_emergency_official,Urgência do Hospital Doutor Manoel Constâncio - Abrantes,39.456288,-8.198552,Largo Eng. Bioucas,Abrantes,2200-202,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar Médio Tejo, E.P.E."
sns_urgency:28,hospital_emergency_official,Urgência do Hospital Espírito Santo - Évora,38.568838,-7.903064,Largo Senhor da Pobreza,Évora,7000-811,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Hospital Espírito Santo - Évora, E.P.E."
sns_urgency:29,hospital_emergency_official,Urgência do Hospital Doutor José Maria Grande - Portalegre,39.2999,-7.4267,Av. de Santo António,Portalegre,7300-853,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospitais da ULS do Norte Alentejano, E.P.E."
sns_urgency:30,hospital_emergency_official,Urgência do Hospital Eduardo Santos Silva - Gaia - Unidade I,41.1254463195801,-8.6028356552124,Rua Conceição Fernandes - Vilar de Andorinho,Vila Nova de Gaia,4434-502,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E."
sns_urgency:31,hospital_emergency_official,Urgência do Hospital Senhora da Oliveira - Guimarães,41.488574,-8.338685,Rua dos Cutileiros - Creixomil,Guimarães,4835-044,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital da Senhora da Oliveira - Guimarães, E.P.E."
sns_urgency:32,hospital_emergency_official,Urgência do Hospital Distrital de Santarém,39.232503,-8.715083,Rua Camilo Castelo Branco - Apartado 140,Setúbal,2910-446,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar de Setúbal, E.P.E."
sns_urgency:33,hospital_emergency_official,Urgência do Hospital Dr. Nélio de Mendonça (Cruz de Carvalho),32.648531,-16.924032,"Av. Luís de Camões, 57",Funchal,9004-514,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,Hospital Central do Funchal
sns_urgency:34,hospital_emergency_official,Urgência do Hospital de Santo António,41.147283,-8.619536,"Av. do Hospital Padre Américo, 210, Guilhufe",Penafiel,4560-136,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar Tâmega e Sousa, E.P.E."
sns_urgency:35,hospital_emergency_official,Urgência do Hospital São Francisco Xavier,38.7084,-9.21711,Rua Dr. Aurélio Ricardo Belo,Torres Vedras,2560-324,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar do Oeste, E.P.E."
sns_urgency:36,hospital_emergency_official,Urgência do Hospital do Divino Espírito Santo de Ponta Delgada,37.751736,-25.676249,"Av. Luís de Camões, 57",Funchal,9004-514,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,Hospital Central do Funchal
sns_urgency:37,hospital_emergency_official,Urgência da Unidade Hospitalar de Mirandela,41.4845,-7.18935,Av. Nossa Senhora do Amparo,Mirandela,5370-210,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E."
sns_urgency:38,hospital_emergency_official,Urgência do Hospital Distrital da Figueira da Foz,40.130297609,-8.860696177,Gala - São Pedro,Figueira da Foz,3094-001,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital Distrital da Figueira da Foz, E.P.E."
sns_urgency:39,hospital_emergency_official,Urgência do Hospital Santa Maria,38.7500648498535,-9.1615104675293,Av. Professor Egas Moniz,Lisboa,1649-035,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E."
sns_urgency:40,hospital_emergency_official,Urgência do Hospital de Cascais Dr. José de Almeida,38.730076,-9.418207,Av. Brigadeiro Victor Novais Gonçalves,Alcabideche,2755-009,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,Hospital de Cascais Dr. José de Almeida
sns_urgency:41,hospital_emergency_official,Urgência do Hospital Distrital de Torres Vedras,39.086617,-9.257309,Rua Dr. Aurélio Ricardo Belo,Torres Vedras,2560-324,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar do Oeste, E.P.E."
sns_urgency:42,hospital_emergency_official,SUB Arouca,40.930031,-8.254658,Largo Conde de Bertiandos,Ponte de Lima,4990-041,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Alto Minho - ULS Alto Minho, E.P.E."
sns_urgency:43,hospital_emergency_official,Urgência do Hospital do Litoral Alentejano - Santiago do Cacém,38.039936,-8.731693,"Av. Torrado da Silva, Pragal",Almada,2805-267,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Hospital Garcia de Orta, E.P.E."
sns_urgency:44,hospital_emergency_official,SUB Moimenta da Beira,40.9714,-7.60926,Av. da República,Moimenta da Beira,3620-371,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,Grupo | Serviços de Urgência Básica | ARSN
sns_urgency:45,hospital_emergency_official,SUB do Hospital de Pombal,39.9169,-8.62476,Av. Heróis do Ultramar - Apartado 40,Pombal,3100-462,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar de Leiria, E.P.E."
sns_urgency:46,hospital_emergency_official,Urgência do Hospital de Faro,37.024668,-7.928949,Rua Leão Penedo,Faro,8000-386,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente,"Centro Hospitalar Universitário do Algarve, E.P.E."
sns_urgency:47,hospital_emergency_official,Urgência do Hospital Vila Franca de Xira,38.977344,-8.984882,Av. Dr. Urze Pires,Macedo de Cavaleiros,5340-263,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar do Nordeste - ULS do Nordeste, E.P.E."
sns_urgency:48,hospital_emergency_official,SUB da Unidade Hospitalar de São João da Madeira,40.893731,-8.494767,Largo da Maternidade,Porto,4050-371,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Polivalente com Centro de Trauma,"Centro Hospitalar Universitário de Santo António, E.P.E."
sns_urgency:49,hospital_emergency_official,SUB da Unidade Hospitalar de Macedo de Cavaleiros,41.534716,-6.960141,Largo Domingos Moreira,Santo Tirso,4780-371,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar do Médio Ave, E.P.E."
sns_urgency:50,hospital_emergency_official,Urgência Médico-cirúrgica do Hospital de Santa Luzia - Viana do Castelo,41.697519,-8.832517,Estrada de Santa Luzia,Viana do Castelo,4904-858,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Centro Hospitalar Alto Minho - ULS Alto Minho, E.P.E."
sns_urgency:51,hospital_emergency_official,Urgência do Hospital da Horta,38.5296,-28.6307,Estrada Príncipe Alberto Mónaco,Horta,9900-038,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Médico-cirúrgico,"Hospital da Horta, EPER"
sns_urgency:52,hospital_emergency_official,SUB Albufeira,37.098,-8.255,Urbanização dos Caliços,Albufeira,8200-200,SNS Transparency Portal,caracterizacao-das-valencias-de-urgencia,Serviço de Urgência Básica,"Centro Hospitalar Universitário do Algarve, E.P.E."
