facility_id,layer,service_type,name,address,municipality,phone,email,hours,source,source_domain,source_url,source_method,needs_manual_review,needs_geocoding,catchment
official_page:chlo:algés,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) Algés,"Praça de S. Francisco Xavier, Lisboa",Algés,,,Sábados e feriado 10 de junho: 9h às 13h,Official ULS page,www.chlo.min-saude.pt,https://www.chlo.min-saude.pt/index.php/comunicacao/destaques/465-atendimento-nos-centros-de-saude-aos-sabados-e-feriados,Programmed parser for official Lisboa Ocidental SAC webpage,False,True,
official_page:chlo:paço_de_arcos,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) Paço de Arcos,"Avenida António Bernardo Cabral Macedo, Paço de Arcos",Paço de Arcos,,,Sábados e feriado 10 de junho: 9h às 13h,Official ULS page,www.chlo.min-saude.pt,https://www.chlo.min-saude.pt/index.php/comunicacao/destaques/465-atendimento-nos-centros-de-saude-aos-sabados-e-feriados,Programmed parser for official Lisboa Ocidental SAC webpage,False,True,
official_page:chlo:são_joão_do_estoril,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) São João do Estoril,"Rua Egas Moniz, São João do Estoril",São João do Estoril,,,Sábados: 9h às 16h; feriado 10 de junho: 9h às 13h,Official ULS page,www.chlo.min-saude.pt,https://www.chlo.min-saude.pt/index.php/comunicacao/destaques/465-atendimento-nos-centros-de-saude-aos-sabados-e-feriados,Programmed parser for official Lisboa Ocidental SAC webpage,False,True,
official_pdf:ulsam:arcos_de_valdevez,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Arcos de Valdevez,Rua Eng. Adelino Amaro da Costa 4970-458 Arcos de Valdevez,Arcos de Valdevez,258 520 120,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Arcos de Valdevez
official_pdf:ulsam:caminha,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Caminha,Rua Eng. Luís Agostinho Pereira Castro 4910-102 Caminha,Caminha,258 719 302,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Caminha
official_pdf:ulsam:melgaço,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Melgaço,"Rua Fonte da Vila, s/n - Vila 4960-546 Melgaço",Melgaço,251 400 332,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Melgaço
official_pdf:ulsam:paredes_de_coura,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Paredes de Coura,Avenida Cónego Bernardo Chousal 4940-520 Paredes de Coura,Paredes de Coura,251 780 320,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Paredes de Coura
official_pdf:ulsam:ponte_da_barca,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Ponte da Barca,"Rua Dr. Francisco Sá Carneiro, 2 4980-633 Ponte da Barca",Ponte da Barca,258 452 134,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Ponte da Barca
official_pdf:ulsam:valença,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Valença,Rua Nossa Senhora de Fátima 4930-768 Valença,Valença,251 800 040,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Valença
official_pdf:ulsam:viana_do_castelo,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Viana do Castelo,Rua Dr. Tiago de Almeida 4900-497 Viana do Castelo,Viana do Castelo,258 823 324,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,True,Todas as freguesias do Concelho de Viana do Castelo
