tempo,entidade,regiao,localizacao_geografica,total_usf,latitude,longitude,source,source_detail
2026-03,Área dos CSP da ULS Alentejo Central,Alentejo,"{'lon': -7.911785, 'lat': 38.574093}",8910,38.574093,-7.911785,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Alto Alentejo,Alentejo,"{'lon': -7.42635033349663, 'lat': 39.3004940975133}",11220,39.3004940975133,-7.42635033349663,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Arco Ribeirinho,Lisboa e Vale do Tejo,"{'lon': -9.0530283486, 'lat': 38.669538907}",6764,38.669538907,-9.0530283486,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Lezíria,Lisboa e Vale do Tejo,"{'lon': -8.688705, 'lat': 39.237167}",6566,39.237167,-8.688705,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS São José,Lisboa e Vale do Tejo,"{'lon': -9.115877, 'lat': 38.797701}",1944,38.797701,-9.115877,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Braga,Norte,"{'lon': -8.3591461276, 'lat': 41.629758698}",2340,41.629758698,-8.3591461276,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Entre Douro e Vouga,Norte,"{'lon': -8.548039, 'lat': 40.926349}",2448,40.926349,-8.548039,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Área dos CSP da ULS Santo António,Norte,"{'lon': -8.681729, 'lat': 41.160263}",2340,41.160263,-8.681729,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha das Flores,SRS Açores,"{'lon': -31.129, 'lat': 39.4515}",386,39.4515,-31.129,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
2026-03,Unidade de Saúde da Ilha Terceira,SRS Açores,"{'lon': -27.2135, 'lat': 38.6611}",720,38.6611,-27.2135,SNS Transparency Portal,"evolucao-do-numero-de-unidades-funcionais; aggregate by CSP area, not facility-level locations"
