facility_id,layer,name,hospital,parent_entity,urgency_type,latitude,longitude,address,city,postcode,region,phone,email,parish,n_valencias,valencias,source,source_dataset,source_url
sns_urgency:2,hospital_emergency_official,SUB Alcácer do Sal,SUB Alcácer do Sal,"Hospital do Litoral Alentejano - Santiago do Cacém - ULS Litoral Alentejano, E.P.E.",Serviço de Urgência Básica,38.376337,-8.510121,"Av. José Saramago, 14",Alcácer do Sal,7580-206,ARS Alentejo,269818101.0,csalcacer@alentejolitoral.min-saude.pt,União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,2,Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:89,hospital_emergency_official,Urgência do Hospital de Portimão,H. José Joaquim Fernandes - Beja | H. Pediátrico de Coimbra | H. Portimão | H. Vila Franca Xira,"Centro Hospitalar Universitário do Algarve, E.P.E. | Centro Hospitalar e Universitário de Coimbra, E.P.E. | Hospital José Joaquim Fernandes - Beja - ULS Baixo Alentejo, E.P.E. | Hospital Vila Franca de Xira, E.P.E.",Serviço de Urgência Médico-cirúrgico | Serviço de Urgência Polivalente,37.155629,-8.539478,Rua Dr. António Fernando Covas Lima,Beja,7801-849,ARS Alentejo,284310200.0,ca@ulsba.min-saude.pt,União das freguesias de Beja (Santiago Maior e São João Baptista),13,Anestesiologia | Bloco Operatório | Cirurgia Geral | Imunohemoterapia | Medicina Interna | Obstetrícia | Ortopedia | Patologia Clínica | Pediatria | Sala de Observações com Camas - Adultos | Sala de Observações com Camas - Pediátrico | Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:6,hospital_emergency_official,SUB Castro Verde,SUB Castro Verde,"Hospital José Joaquim Fernandes - Beja - ULS Baixo Alentejo, E.P.E.",Serviço de Urgência Básica,37.7041,-8.08336,"Av. General Humberto Delgado, Apartado 17",Castro Verde,7780-123,ARS Alentejo,286320140.0,subcvcasns@ulsba.min-saude.pt,União das freguesias de Castro Verde e Casével,2,Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:17,hospital_emergency_official,SUB São Pedro do Sul,H. Santa Luzia Elvas | SUB São Pedro do Sul,"Grupo | Serviços de Urgência Básica | ARSC | Hospitais da ULS do Norte Alentejano, E.P.E.",Serviço de Urgência Básica,40.759719,-8.061475,Rua Mariana Martins - Apartado 242,Elvas,7350-954,ARS Alentejo,268637200.0,admin@ulsna.min-saude.pt,"Assunção, Ajuda, Salvador e Santo Ildefonso",3,Sala de Observações com Camas - Adultos | Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:36,hospital_emergency_official,SUB do Hospital de Santa Luzia de Elvas,H. Santa Luzia - Viana Castelo | H. Santa Luzia Elvas,"Centro Hospitalar Alto Minho - ULS Alto Minho, E.P.E. | Hospitais da ULS do Norte Alentejano, E.P.E.",Serviço de Urgência Básica | Serviço de Urgência Médico-cirúrgico,38.875511,-7.163026,Rua Mariana Martins - Apartado 242,Elvas,7350-954,ARS Alentejo,268637200.0,admin@ulsna.min-saude.pt,"Assunção, Ajuda, Salvador e Santo Ildefonso",3,Sala de Observações com Camas - Adultos | Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:8,hospital_emergency_official,SUB Estremoz,SUB Estremoz,Grupo | Serviços de Urgência Básica | ARSALE,Serviço de Urgência Básica,38.8454,-7.58347,Av. 9 de Abril,Estremoz,7100-500,ARS Alentejo,268337700.0,sub.estremoz@alentejocentral.min-saude.pt,União das freguesias de Estremoz (Santa Maria e Santo André),2,Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:14,hospital_emergency_official,SUB Moura,SUB Moura,"Hospital José Joaquim Fernandes - Beja - ULS Baixo Alentejo, E.P.E.",Serviço de Urgência Básica,38.1376746,-7.4524621,Rua dos Açores s/n,Moura,7860-222,ARS Alentejo,285254900.0,csmoura@ulsba.min-saude.pt,União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,2,Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:15,hospital_emergency_official,SUB Odemira,SUB Odemira,"Hospital do Litoral Alentejano - Santiago do Cacém - ULS Litoral Alentejano, E.P.E.",Serviço de Urgência Básica,37.601196,-8.644773,Vale Pêgas de Baixo,Odemira,7630-236,ARS Alentejo,283320130.0,ucspodemira@alentejolitoral.min-saude.pt,São Salvador e Santa Maria,2,Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:16,hospital_emergency_official,SUB Ponte de Sor,SUB Ponte de Sor,"Hospitais da ULS do Norte Alentejano, E.P.E.",Serviço de Urgência Básica,39.1591,-8.26399,Passeio Garibaldino de Andrade nº 1,Ponte de Sor,7400-294,ARS Alentejo,242292000.0,geral.cs.pontedesor@ulsna.min-saude.pt,"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor",2,Urgência Adultos | Urgência Crianças e Adolescentes,SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
sns_urgency:57,hospital_emergency_official,Urgência do Hospital Doutor José Maria Grande - Portalegre,H. Doutor José Maria Grande - Portalegre | H. Espírito Santo - Évora | H. Faro | H. Horta | H. N. Sra. Rosário - Barreiro | H. Portimão,"Centro Hospitalar Barreiro Montijo, E.P.E. | Centro Hospitalar Universitário do Algarve, E.P.E. | Hospitais da ULS do Norte Alentejano, E.P.E. | Hospital Espírito Santo - Évora, E.P.E. | Hospital da Horta, EPER",Serviço de Urgência Médico-cirúrgico | Serviço de Urgência Polivalente,39.2999,-7.4267,Av. de Santo António,Portalegre,7300-853,ARS Alentejo,245301000.0,admin@ulsna.min-saude.pt,União das freguesias da Sé e São Lourenço,16,"Anestesiologia | Bloco Operatório | Cirurgia Geral | Imagiologia - RX convencional, ecografia e TC | Imunohemoterapia | Medicina Interna | Ortopedia | Patologia Clínica | Pediatria | Psiquiatria | Sala de Observações com Camas - Adultos | Sala de Observações com Camas - Pediátrico | Unidade de Cuidados Intensivos - Adultos | Unidade de Cuidados Intermédios - Neonatais | Urgência Adultos | Urgência Crianças e Adolescentes",SNS Transparência,caracterizacao-das-valencias-de-urgencia,https://transparencia.sns.gov.pt/explore/dataset/caracterizacao-das-valencias-de-urgencia/
