facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,collaboration,osm_type,osm_id,amenity,healthcare,healthcare_speciality,operator,phone,website,rd_x,rd_y
osm:node:253446344,general_practitioner,,51.882909,5.4192884,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,253446344,doctors,doctor,general,,,,,
osm:node:331976982,general_practitioner,,52.6610432,6.8866179,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,331976982,doctors,doctor,,,,,,
osm:node:409816901,general_practitioner,,52.033323,4.285849,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,409816901,doctors,,,,,,,
osm:node:672366383,general_practitioner,,51.3273847,5.4209847,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,672366383,doctors,doctor,,,,,,
osm:node:746911697,general_practitioner,,52.3462184,4.8089732,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,746911697,doctors,doctor,,,,,,
osm:node:795225065,general_practitioner,,52.046843,5.2348468,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,795225065,doctors,doctor,,,,,,
osm:node:1517909356,general_practitioner,,52.0751526,4.300615,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,1517909356,doctors,doctor,,,,,,
osm:node:1669880849,general_practitioner,,53.3395059,6.3016005,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,1669880849,doctors,doctor,,,,,,
osm:node:1780523782,general_practitioner,,52.0278814,5.0470102,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,1780523782,doctors,doctor,,,,,,
osm:node:2488279294,general_practitioner,,52.0174071,5.5564628,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2488279294,doctors,,,,,,,
osm:node:2550419674,general_practitioner,,51.7703515,4.9609679,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2550419674,doctors,doctor,general,,,,,
osm:node:2906333138,general_practitioner,,52.8963004,5.5807463,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2906333138,doctors,,,,,,,
osm:node:4118555424,general_practitioner,,53.1133274,6.0978516,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,4118555424,doctors,doctor,,,,,,
osm:node:5219717099,general_practitioner,,52.8879157,6.1410586,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5219717099,doctors,doctor,,,,,,
osm:node:5355435621,general_practitioner,,18.045807,-63.0625463,Oleander Road,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5355435621,doctors,doctor,,,+17215482391,,,
osm:node:5403409721,general_practitioner,,18.0320833,-63.0658491,Welegen Road,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5403409721,doctors,doctor,,,,,,
osm:node:5407620721,general_practitioner,,12.1292559,-68.9533267,Schottegatweg West,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5407620721,doctors,doctor,,,+599 9 4623550,https://m.facebook.com/drbilton/,,
osm:node:5577060321,general_practitioner,,12.1046273,-68.8822358,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5577060321,doctors,doctor,,,,,,
osm:node:6082824088,general_practitioner,,12.5193662,-70.0270862,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6082824088,doctors,doctor,,,,,,
osm:node:6082824090,general_practitioner,,12.5182481,-70.0348677,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6082824090,doctors,doctor,,,,,,
osm:node:6082824093,general_practitioner,,12.5418415,-70.0550667,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6082824093,doctors,,,,,,,
osm:node:6082824094,general_practitioner,,12.5413718,-70.0570604,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6082824094,doctors,,,,,,,
osm:node:6082824096,general_practitioner,,12.542284,-70.0567112,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6082824096,doctors,,,,,,,
osm:node:6348170957,general_practitioner,,52.2680252,4.5494127,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6348170957,doctors,doctor,,,,,,
osm:node:6648873812,general_practitioner,,12.5377799,-70.0312191,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6648873812,doctors,doctor,,,,,,
osm:node:6650973986,general_practitioner,,12.1451284,-68.9207822,Monte Carmelo 37,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6650973986,doctors,doctor,,,,,,
osm:node:6751480987,general_practitioner,,12.0957583,-68.9077926,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,6751480987,doctors,doctor,,,,,,
osm:node:8628837159,general_practitioner,,51.5879448,4.5348035,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,8628837159,doctors,doctor,,,,,,
osm:node:8706296218,general_practitioner,,12.5429106,-70.0559882,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,8706296218,doctors,,,,,,,
osm:node:8841667250,general_practitioner,,52.5190824,5.4853888,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,8841667250,doctors,doctor,,,,,,
osm:node:11428395363,general_practitioner,,52.9518228,5.9126931,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,11428395363,doctors,doctor,general,,,,,
osm:node:11554658809,general_practitioner,,52.5527655,5.9192068,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,11554658809,doctors,doctor,,,,,,
osm:node:11609738230,general_practitioner,,51.8969073,4.6887349,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,11609738230,doctors,doctor,,,,,,
