acute_obstetrics_flag,address,amenity,city,collaboration,facility_id,healthcare,healthcare_speciality,hospital_type,latitude,layer,longitude,name,operator,osm_id,osm_type,phone,postcode,rd_x,rd_y,seh_flag,source,source_detail,website
,,doctors,,,osm:node:253446344,doctor,general,,51.882909,general_practitioner,5.4192884,,,253446344,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:331976982,doctor,,,52.6610432,general_practitioner,6.8866179,,,331976982,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:409816901,,,,52.033323,general_practitioner,4.285849,,,409816901,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:672366383,doctor,,,51.3273847,general_practitioner,5.4209847,,,672366383,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:746911697,doctor,,,52.3462184,general_practitioner,4.8089732,,,746911697,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:795225065,doctor,,,52.046843,general_practitioner,5.2348468,,,795225065,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:1517909356,doctor,,,52.0751526,general_practitioner,4.300615,,,1517909356,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:1669880849,doctor,,,53.3395059,general_practitioner,6.3016005,,,1669880849,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:1780523782,doctor,,,52.0278814,general_practitioner,5.0470102,,,1780523782,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:2488279294,,,,52.0174071,general_practitioner,5.5564628,,,2488279294,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
,,doctors,,,osm:node:2550419674,doctor,general,,51.7703515,general_practitioner,4.9609679,,,2550419674,node,,,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,
