facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,collaboration,osm_type,osm_id,amenity,healthcare,healthcare_speciality,operator,phone,website,rd_x,rd_y
osm:node:5285093354,hospital_emergency_proxy,,17.6268208,-63.2511527,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,node,5285093354,hospital,hospital,,,,,,
osm:node:7760619963,hospital_emergency_proxy,,51.4860078,4.3136584,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,node,7760619963,,hospital,,,,,,
osm:node:7760748992,hospital_emergency_proxy,,51.5287803,4.4389166,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,node,7760748992,,hospital,,,,,,
osm:way:158627696,hospital_emergency_proxy,,51.5407833,5.1043289,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,way,158627696,,hospital,,,,,,
osm:way:164329823,hospital_emergency_proxy,,52.051628,4.385249,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,way,164329823,hospital,hospital,,,,,,
osm:way:391072829,hospital_emergency_proxy,,50.867866,5.9721974,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,way,391072829,hospital,hospital,,,,,,
osm:way:414335324,hospital_emergency_proxy,,17.6257599,-63.2465539,"The Bottom, Caribbean Netherlands","The Bottom, Caribbean Netherlands",,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,way,414335324,hospital,hospital,,,+599 416 3456,https://www.saba.edu/,,
osm:node:13668581818,hospital_emergency_proxy,Acute opname afdeling,52.6281466,4.73499,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,node,13668581818,hospital,hospital,,,,,,
osm:way:828865091,hospital_emergency_proxy,Admiraal De Ruyter Ziekenhuis,51.4514416,3.5664035,,,,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,way,828865091,hospital,hospital,,,,,,
osm:node:1724006039,hospital_emergency_proxy,Admiraal De Ruyter Ziekenhuis,51.6564016,3.9283516,"Koning Gustaafweg 2, 4301NP, Zierikzee",Zierikzee,4301NP,OpenStreetMap via Overpass API,OSM tags: amenity=hospital OR healthcare=hospital; use as emergency-care proxy unless later replaced by official SEH list,,node,1724006039,hospital,hospital,,,,https://www.adrz.nl/,,
