facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,collaboration,osm_type,osm_id,amenity,healthcare,healthcare_speciality,operator,phone,website,rd_x,rd_y,hospital_type,seh_flag,acute_obstetrics_flag
vzinfo_seh:104401,hospital,Admiraal De Ruyter Ziekenhuis Goes,51.48621490737828,3.9046727881328582,,Goes,4462RA,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,52032.0,389622.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:100301,hospital,Albert Schweitzer Ziekenhuis Dordrecht,51.79217808341736,4.681992089521577,,Dordrecht,3318AT,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,106348.0,422850.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:104901,hospital,Alrijne Ziekenhuis Leiderdorp,52.15574944278795,4.540716245488578,,Leiderdorp,2353GA,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,97073.0,463402.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:100501,hospital,Amphia Ziekenhuis Breda Molengracht,51.58212758144003,4.798908073242819,,Breda,4818CK,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,114225.0,399410.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:100101,hospital,"Amsterdam UMC, locatie AMC",52.294397972369815,4.958270151172789,,Amsterdam Zuidoost,1105AZ,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,125738.0,478577.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:105701,hospital,Anna Ziekenhuis Geldrop,51.41985159523608,5.558552126535073,,Geldrop,5664EH,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,166919.0,381206.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:100601,hospital,Antonius Ziekenhuis Sneek,53.034813302546375,5.643568370704385,,Sneek,8601ZK,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,172197.0,560909.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:108503,hospital,Bernhoven Ziekenhuis Uden,51.67493156513951,5.60163208689653,,Uden,5406PT,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,169832.0,409592.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:100801,hospital,BovenIJ Ziekenhuis Amsterdam,52.40482014867831,4.922301062348942,,Amsterdam,1034CS,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,123363.0,490878.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
vzinfo_seh:107001,hospital,Bravis Ziekenhuis Bergen op Zoom,51.48781819285127,4.314928972042958,,Bergen Op Zoom,4624VT,RIVM/VZinfo,"Reistijd naar dichtstbijzijnde ziekenhuis met SEH 2025; Met personenvervoer, 24/7-uurs basis-SEH (76 locaties); <p><i>Bron: <a href=""https://www.rivm.nl/publicaties/bereikbaarheidsanalyse-sehs-en-acute-verloskunde-2025"" target=""_blank"">RIVM</a>, juni 2025; <a href=""https://www.vzinfo.nl/acute-zorg/verantwoording/bronverantwoording"" target=""_blank"">Drive Time Matrix 2025</a></i></p>; config changed 20250602-1736",,,,,,,,,https://www.vzinfo.nl/acute-zorg/regionaal/hap#map/reistijd-naar-dichtstbijzijnde-ziekenhuis-met-seh-2025,80527.0,389301.0,De SEH is 24 uur per dag 7 dagen per week (24/7) geopend,1.0,1.0
