facility_id,layer,name,latitude,longitude,city,source,source_detail,osm_type,osm_id,amenity,healthcare,operator
osm:node:44072746,huisartsenpost_osm_proxy,Huisartsenspoedpost Spijkenisse,51.8464789,4.3382438,,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,44072746,,,
osm:node:602384450,huisartsenpost_osm_proxy,Centrale Huisartsenpost,52.5047314,5.4762929,,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,602384450,doctors,doctor,
osm:node:926264849,huisartsenpost_osm_proxy,Huisartsenpost,52.2954773,6.5782491,Enter,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,926264849,doctors,doctor,Rabobank Rijssen-Enter
osm:node:1242344611,huisartsenpost_osm_proxy,Centrale Huisartsenpost Alkmaar,52.6431946,4.7635895,Alkmaar,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,1242344611,doctors,doctor,
osm:node:1530990761,huisartsenpost_osm_proxy,Huisartsenpost OZL,50.8696047,5.976644,Heerlen,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,1530990761,clinic,clinic,
osm:node:1710357254,huisartsenpost_osm_proxy,Huisartsenpost,51.291369,4.0624996,,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,1710357254,,,
osm:node:1777460775,huisartsenpost_osm_proxy,Huisartsenpost Neede,52.1330175,6.6111706,Neede,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,1777460775,pharmacy,,
osm:node:2592797666,huisartsenpost_osm_proxy,Eerste Hulp & Spoedpost,52.3693832,5.2243431,,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,2592797666,,,
osm:node:2712838813,huisartsenpost_osm_proxy,Huisartsenpost Bergman,52.3762126,4.6599027,Haarlem,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,2712838813,doctors,doctor,
osm:node:2752578812,huisartsenpost_osm_proxy,Huisartsenpost Zeeuws-Vlaanderen,51.3087295,3.8582757,Terneuzen,OpenStreetMap via Overpass API,OSM HAP/Spoedpost name/operator proxy for validating official VZinfo HAP points,node,2752578812,doctors,doctor,
