Notes,MRI,Health Insurance facility code,Contracted with VSS? (1=yes; 2=no),Official decision to set up facility,Technical class ,Facility level (Trung ương=central; tỉnh=provincial; huyện=district),Facility name-VN,Name_English,Facility type-VN,Type_name,hospital or other type of facility Hospital=1,1=general; 2=specialist,Chuyên khoa (specialty),Ngành (sector if not under MOH),Tên doanh nghiệp (company name if private hospital),"Tuyenkythuat_Facility_level 
(1: National; 2: Provincial; 3: District; 4: Commune,5: sectoral (if not clear under Bộ or Sở), 6: regional polyclinic,7:Training establishment hospital)",Sectoral (1:health sector; 2:other sector;3:private sector),Public_private (1:public; 2: private; 3: enterprise),"main_secondary_location (1: main facility; 2: secondary facility=co so 2, 3...)",Province_GSO_id,pro_name_v,pro_name_e,District_GSO_id,dis_name_v,dis_name_e,Island district,com_name_v,com_name_e,address,longitude,latitude,phone,fax,hyperlink,email,Date_updated,collector,subtype,level,economic_t,level_id,date_colle,HI_ID,OWNER,NAME,RANGE,HOS_LEVEL,TYPE,Name_HI,District_H,Range_HI,HOS_Level_,Address_HI,NOTE,F_VG,OBJECTID_1
,1,79024,1,01/2018/QĐ-UBND,1,tỉnh,Bệnh viện Nhân Dân 115,115 People's Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,771,Quận 10,District 10,,Phường 12,Ward 12,"527 Sư Vạn Hạnh, Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",106.667427,10.774916,(028) 3865 4249,(028) 3865 5193,http://benhvien115.com.vn/,,,vietgis,ST22,L2,E1,2,30.12.2015,79024,TP HỒ CHÍ MINH,BỆNH VIỆN NHÂN DÂN 115,Tinh/Thanh pho,Hạng I,Benh vien đa khoa,Benh vien Nhân Dân 115,12,2,1,"527 Sư Vạn Hạnh, Phường 12, Quận 10, Thanh pho Hồ Chí Minh",BV,0,1050
,,79431,1,,1,,Bệnh viện Đại Học Y Dược TPHCM - CS1,University Medical Center HCMC-Branch 1,bệnh viện đại học/học viện/cao đẳng,University/academy/college hospital,1,1,,,,7,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,774,Quận 5,District 5,,Phường 11,Ward 11,"215 Hong Bàng,Hong Bàng, Phường 11, Quận 5, Hồ Chí Minh",106.664334,10.755537,(028) 3855 4269,(028) 3950 6126,http://www.bvdaihoc.com.vn/,bvdh@hcm.vnn.vn,,vietgis,ST32,L2,E1,2,30.12.2015,79431,CỤC QL KHÁM CHỮA BỆNH,TRƯỜNG ĐẠI HỌC Y DƯỢC TP HỒ CHÍ MINH,,,,Benh vien đại học Y Duoc TP HCM,15,2,1,"215 Hong Bàng, Phường 11, Quận 5, Thanh pho Hồ Chí Minh",BV,0,1029
,1,79030,1,01/2018/QĐ-UBND,1,tỉnh,Bệnh viện Nhân Dân Gia Định,Nhan Dan Gia Dinh Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,765,Quận Bình Thạnh,Binh Thanh District,,Phường 7,Ward 7,"1 Nơ Trang Long, Nơ Trang Long, Phường 7, Quận Binh Thạnh, Hồ Chí Minh",106.694035,10.804018,(028) 3841 2692,(028) 3841 2700,http://www.bvndgiadinh.org.vn/,,,vietgis,ST22,L2,E1,2,30.12.2015,79030,TP HỒ CHÍ MINH,NHÂN DÂN GIA ĐỊNH,Tinh/Thanh pho,Hạng I,Benh vien đa khoa,Benh vien Nhân Dân Gia Định,13,2,1,"01 Nơ Trang Long Phường 14, Quận Binh Thạnh, Thanh pho Hồ Chí Minh",BV,0,1310
,1,79013,1,01/2018/QĐ-UBND,1,tỉnh,Bệnh viện Nguyễn Trí Phương,Nguyen Tri Phuong Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,774,Quận 5,District 5,,Phường 8,Ward 8,"468 Nguyen Trãi, Nguyen Trãi, Phường 8, Quận 5, Hồ Chí Minh",106.670010,10.754785,(028) 3923 4332,(028) 3988 3984,http://www.bvnguyentriphuong.org/bvntp/,bv.ntphuong@tphcm.gov.vn,,vietgis,ST22,L2,E1,2,30.12.2015,79013,TP HỒ CHÍ MINH,NGUYỄN TRI PHƯƠNG,Tinh/Thanh pho,Hạng I,Benh vien đa khoa,Benh vien Nguyen Tri Phuong,15,2,1,"468 Nguyen Trãi, Phường 8, Quận 5, Thanh pho Hồ Chí Minh",BV,0,1027
,1,79037,1,1431/QD-UBND (2017),1,huyện,Bệnh viện Quận Thủ Đức,Thu Duc District Hospital,bệnh viện đa khoa huyện,district general hospital,1,1,,,,3,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,762,Quận Thủ Đức,Thu Duc District,,Phường Tam Phú,Tam Phu Ward,"29 Phú Châu, Tam Phú, Thủ Đức, Hồ Chí Minh, Việt Nam",106.745461,10.864643,0966331010 ,(028) 3729 3328 ,https://benhvienthuduc.vn/,bv.thuduc@tphcm.gov.vn,,,,,,,,,,,,,,,,,,,,,
,,79012,1,01/2018/QĐ-UBND,2,tỉnh,Bệnh viện An Bình,An Binh Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,774,Quận 5,District 5,,Phường 7,Ward 7,"146 Trần Phu,Nguyen Trãi, Phường 7, Quận 5, Hồ Chí Minh",106.671493,10.754501,(028) 5405 2844,(028) 5405 3377,http://www.benhvienanbinh.vn/,,,vietgis,ST32,L2,E1,2,30.12.2015,79012,TP HỒ CHÍ MINH,BỆNH VIỆN AN BÌNH,Tinh/Thanh pho,Hạng II,Benh vien đa khoa,Benh vien An Binh,15,2,2,"146 An Binh, Phường 7, Quận 5, Thanh pho Hồ Chí Minh",BV,0,1026
,1,79025,1,246/QD-TTg-2014,1,trung ương,Bệnh viện Thống Nhất,Thong Nhat Hospital,bệnh viện đa khoa trung ương,Central general hospital,1,1,,,,1,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,766,Quận Tân Bình,Tan Binh District,,Phường 7,Ward 7,"Số 1, Lý Thường Kiệt, Phường 7, Quận Tân Binh, Tp.HCM",106.652870,10.791552,(028) 3869 0277,(028) 3865 6715,http://www.thongnhathospital.org.vn/,thongnhathospi@vnn.vn,,vietgis,ST12,L1,E1,1,30.12.2015,79025,,,,,,,0,0,0,,,0,1297
,1,79075,1,509/QD-UBND (2019),2,huyện,Bệnh viện Quận 2,District 2 General Hospital,bệnh viện đa khoa huyện,district general hospital,1,1,,,,3,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,769,Quận 2,District 2,,Phường Bình Trưng Tây,Binh Trung Tay Ward,"Le Văn Thịnh, Le Văn Thịnh, Phường Binh Trưng Tây, Quận 2, Hồ Chí Minh",106.768496,10.782319,(028) 5432 7888,,http://benhvienquan2.vn/, benhvien.q2@tphcm.gov.vn,,vietgis,ST32,L3,E1,3,30.12.2015,79075,TP HỒ CHÍ MINH,BỆNH VIỆN QUẬN 2,Quan/Huyen,Hạng II,Benh vien đa khoa,Benh vien Quận 2,10,3,2,"130 Le Văn Thịnh, Phường Binh Trưng Tây, Quận 2, Thanh pho Hồ Chí Minh",BV,0,1057
,1,79071,1,,chưa,tỉnh,Bệnh viện Hoàn Mỹ Sài Gòn (CS 1) [Tập đoàn Y khoa Hoàn Mỹ đã gia nhập tập đoàn quốc tế Fortis và Tập đoàn Clermont],Hoan My Saigon Hospital (CS1) Hoan My Group,bệnh viện đa khoa tư nhân,Private general hospital,1,1,,,Tập đoàn Y khoa Hoàn Mỹ,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,768,Quận Phú Nhuận,Phu Nhuan District,,Phường 1,Ward 1,"60-60A Phan Xích Long, Phường 1, Quận Phú Nhuận, Tp.HCM (formerly at 124 Trần Quốc Thảo, Quận 3 before 2011)",106.684172,10.800064,(028) 3990 2468,,https://www.hoanmysaigon.com/#slider,,,vietgis,ST32,L3,E1,3,30.12.2015,79071,TP HỒ CHÍ MINH,BỆNH VIỆN HOÀN MỸ 1,Ngoài cong lập,Hạng II,Benh vien đa khoa,Benh vien Hoàn Mỹ Sài Gòn,9,2,2,"60, 60A Phan Xích Long, Phường 1, Q.Phu Nhuận, Thanh pho Hồ Chí Minh",BV,0,1308
,,79054,1,509/QD-UBND (2019),2,huyện,Bệnh viện Quận Tân Phú,Tan Phu District Hospital,bệnh viện đa khoa huyện,district general hospital,1,1,,,,3,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,767,Quận Tân Phú,Tan Phu District,,Phường Phú Trung,Phu Trung Ward,"609, 611 Âu Cơ, P.Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh",106.641991,10.783563,(028) 3865 7948 ,(028) 5406 7581,http://benhvientanphu.vn/, bv.tanphu@tphcm.gov.vn,,vietgis,ST32,L3,E1,3,30.12.2015,79054,TP HỒ CHÍ MINH,BỆNH VIỆN QUẬN TÂN PHÚ,Quan/Huyen,Hạng II,Benh vien đa khoa,Benh vien Quận Tân Phu,8,2,2,"609, 611 Âu Cơ, P.Phu Trung, Quận Tân Phu, Thanh pho Hồ Chí Minh",BV,0,1058
